e_id	copynumber
COG0001	1
COG0002	1
COG0003	1
COG0004	1
COG0005	1
COG0006	1
COG0007	2
COG0008	1
COG0009	2
COG0011	2
COG0012	1
COG0013	1
COG0014	1
COG0015	1
COG0016	1
COG0018	1
COG0019	1
COG0020	2
COG0021	1
COG0022	1
COG0024	4
COG0025	1
COG0026	1
COG0028	2
COG0029	1
COG0030	1
COG0031	2
COG0033	1
COG0034	1
COG0035	1
COG0036	1
COG0037	1
COG0039	3
COG0040	1
COG0041	1
COG0042	1
COG0044	2
COG0045	1
COG0046	1
COG0047	1
COG0048	1
COG0049	1
COG0050	1
COG0051	1
COG0052	1
COG0053	2
COG0054	1
COG0055	1
COG0056	1
COG0057	1
COG0058	1
COG0059	1
COG0060	1
COG0061	1
COG0062	1
COG0063	2
COG0064	1
COG0065	1
COG0066	1
COG0067	1
COG0069	1
COG0070	1
COG0071	1
COG0072	1
COG0073	1
COG0074	1
COG0077	1
COG0078	1
COG0079	2
COG0080	1
COG0081	1
COG0082	1
COG0083	1
COG0084	1
COG0085	1
COG0086	1
COG0087	1
COG0088	1
COG0089	1
COG0090	1
COG0091	1
COG0092	1
COG0093	1
COG0094	1
COG0095	1
COG0096	1
COG0097	1
COG0098	1
COG0099	2
COG0100	1
COG0101	1
COG0102	1
COG0103	1
COG0104	1
COG0105	1
COG0106	1
COG0107	1
COG0108	1
COG0109	1
COG0110	2
COG0111	3
COG0112	1
COG0113	1
COG0114	1
COG0115	2
COG0116	1
COG0117	1
COG0118	1
COG0119	2
COG0122	1
COG0123	1
COG0124	1
COG0125	1
COG0126	1
COG0127	1
COG0128	1
COG0129	2
COG0130	1
COG0131	1
COG0133	1
COG0134	1
COG0136	1
COG0137	1
COG0138	1
COG0139	1
COG0140	1
COG0141	1
COG0142	3
COG0143	1
COG0144	1
COG0147	2
COG0148	1
COG0149	1
COG0150	1
COG0151	1
COG0152	1
COG0153	1
COG0154	1
COG0155	1
COG0157	1
COG0159	1
COG0160	1
COG0162	1
COG0164	1
COG0165	1
COG0166	1
COG0167	1
COG0168	3
COG0169	1
COG0171	1
COG0172	1
COG0173	1
COG0174	2
COG0175	3
COG0176	1
COG0177	3
COG0178	2
COG0179	1
COG0180	1
COG0181	1
COG0183	2
COG0184	1
COG0185	1
COG0186	1
COG0187	2
COG0188	2
COG0189	2
COG0190	1
COG0191	1
COG0192	1
COG0193	1
COG0194	1
COG0195	1
COG0196	2
COG0197	1
COG0198	1
COG0199	2
COG0200	1
COG0201	1
COG0202	1
COG0203	1
COG0204	4
COG0205	3
COG0206	1
